timestamp,open,high,low,close,adjusted close,volume,dividend amount
2023-05-26,126.3500,129.6600,120.5500,128.8900,128.8900,80883527,1.6600
2023-04-28,130.9700,132.6100,124.5600,126.4100,124.7016,83664114,0.0000
2023-03-31,128.9000,131.4800,121.7100,131.0900,129.3184,138093084,0.0000
2023-02-28,134.4900,137.3900,128.8600,129.3000,127.5526,76080679,1.6500
2023-01-31,141.1000,147.1800,132.9800,134.7300,131.2895,105576019,0.0000
2022-12-30,149.9800,153.2100,137.1950,140.8900,137.2922,86426226,0.0000
2022-11-30,138.2500,150.4600,133.9700,148.9000,145.0977,93620235,1.6500
2022-10-31,120.1600,138.8615,115.5450,138.2900,133.1594,113480787,0.0000
2022-09-30,128.4000,130.9900,118.6100,118.8100,114.4021,87256958,0.0000
2022-08-31,130.7500,139.3400,128.4000,128.4500,123.6845,77392342,1.6500
2022-07-29,141.0000,141.8700,125.1300,130.7900,124.3529,129801061,0.0000
2022-06-30,139.6700,144.7300,132.8500,141.1900,134.2410,105815743,0.0000
2022-05-31,133.0000,139.8300,125.8000,138.8400,132.0067,113207659,1.6500
2022-04-29,129.6600,141.8800,124.9100,132.2100,124.1789,107525264,0.0000
2022-03-31,122.6700,133.0800,120.7000,130.0200,122.1220,96447210,0.0000
2022-02-28,133.7600,138.8200,118.8100,122.5100,115.0682,98492968,1.6400
2022-01-31,134.0700,142.2000,124.1930,133.5700,123.9341,147238382,0.0000
2021-12-31,118.2500,134.9900,116.5600,133.6600,124.0176,113930079,0.0000
2021-11-30,125.0500,127.2900,114.5600,117.1000,108.6522,119252012,1.6400
2021-10-29,141.0000,146.0000,124.6200,125.1000,109.4847,144097758,0.0000
2021-09-30,139.9800,140.5700,132.7800,138.9300,121.5884,76644238,0.0000
2021-08-31,141.4500,144.7000,137.2100,140.3400,122.8224,69687056,1.6400
2021-07-30,146.9600,147.5000,136.2089,140.9600,121.9491,110625907,0.0000
2021-06-30,145.0000,152.8400,143.0400,146.5900,126.8198,84365220,0.0000
2021-05-28,143.8100,148.5150,140.9200,143.7400,124.3542,98036425,1.6400
2021-04-30,133.7600,148.7400,130.3800,141.8800,121.3766,122920494,0.0000
2021-03-31,120.3500,137.0700,118.7550,133.2600,114.0023,127967821,0.0000
2021-02-26,119.9000,124.3500,118.1200,118.9300,101.7431,106339228,1.6300
2021-01-29,125.8500,132.2400,117.3600,119.1100,100.5547,176168962,0.0000
2020-12-31,123.9000,127.6900,121.7200,125.8800,106.2701,102587006,0.0000
2020-11-30,112.6500,125.3130,111.1600,123.5200,104.2777,103461100,1.6300
2020-10-30,122.3600,135.5000,105.9200,111.6600,92.9538,159130911,0.0000
2020-09-30,122.8500,129.9500,116.4800,121.6700,101.2869,84510174,0.0000
2020-08-31,123.5000,130.4700,122.1500,123.3100,102.6521,74033007,1.6300
2020-07-31,120.2700,132.1700,115.2000,122.9400,101.0263,113972765,0.0000
2020-06-30,124.6400,135.8800,115.8800,120.7700,99.2431,120931250,0.0000
2020-05-29,123.1900,126.9700,111.8100,124.9000,102.6370,92864791,1.6300
2020-04-30,106.3600,129.3100,104.5200,125.5600,101.8104,130400316,0.0000
2020-03-31,130.7500,136.1000,90.5600,110.9300,89.9477,189585053,0.0000
2020-02-28,144.2500,158.7500,126.3600,130.1500,105.5322,118092333,1.6200
2020-01-31,135.0000,145.7900,133.2000,143.7300,115.3257,112864967,0.0000
2019-12-31,134.4500,136.4200,130.6900,134.0400,107.5507,71661951,0.0000
2019-11-29,134.5000,139.1400,132.7500,134.4500,107.8797,64898948,1.6200
2019-10-31,145.5900,147.3500,130.9000,133.7300,106.0542,92647927,0.0000
2019-09-30,134.8500,146.5700,133.3300,145.4200,115.3249,62083780,0.0000
2019-08-30,148.9000,152.9500,128.8300,135.5300,107.4817,96719129,1.6200
2019-07-31,139.6000,151.9400,139.1300,148.2400,116.2175,80175943,0.0000
2019-06-28,127.1000,140.1500,127.0600,137.9000,108.1111,61342985,0.0000
2019-05-31,140.5500,141.8100,126.8500,126.9900,99.5578,75537897,1.6200
2019-04-30,141.5100,145.3900,136.2600,140.2700,108.6684,80199229,0.0000
2019-03-29,139.3100,142.1200,133.5800,141.1000,109.3114,74688899,0.0000
2019-02-28,134.9700,140.4900,132.1200,138.1300,107.0105,68462024,1.5700
2019-01-31,112.0100,135.4100,111.6900,134.4200,102.9231,120388583,0.0000
2018-12-31,125.6700,126.5900,105.9400,113.6700,87.0352,115600988,0.0000
2018-11-30,115.5000,125.0600,114.5400,124.2700,95.1514,141719180,1.5700
